125.19,122.75,124,2.44,122.75,1.25,9.7,22.75,46.84,22.93,49.75,104.47,43.64339507904880
125.62,122.69,123.19,2.93,122.69,0.5,8.51,22.88,45.21,22.24,49.12,104.52,41.35314893232350
126,122.87,124.56,3.13,122.87,1.69,9.51,20.57,46.53,22.06,47.81,102.15,43.43405825605680
128.5,125.5,127.25,3.94,124.56,2.69,9.51,23.14,47.03,22.88,48.94,103.27,43.76633282697680
126.75,124.25,125.87,3,124.25,1.62,10.13,22.51,48.4,22.44,48.56,103.9,45.69481607622510
129.75,128,128.86,3.88,125.87,2.99,11.62,21.5,48.14,23.13,47.94,104.28,48.11582453239080
132.69,128.38,132,4.31,128.38,3.62,14.36,23.18,49.19,23.63,50.25,105.71,54.55321478206920
133.94,130.69,130.75,3.25,130.69,0.06,13.17,22.87,48.5,24.44,47.37,105.2,51.17284952735090
136.5,131.63,134.75,5.75,130.75,4,16.67,25.18,51.18,27.26,49.5,108.63,56.20841630286170
137.69,134.38,135,3.31,134.38,0.62,15.6,25.11,51.36,27.44,49.5,107.75,53.78938379134550
135.56,132,132.38,3.56,132,0.38,13.29,22.8,50.56,27.06,49.94,106.38,47.89851863169860
133.56,131.94,133.31,1.62,131.94,1.37,13.04,23.17,51.49,25.68,48.12,104.19,49.83364417832680
135,131.94,131.94,3.06,131.94,0,10.05,21.67,45.86,24.86,47.99,100.81,42.50107873355790
132.38,129.56,130,2.82,129.56,0.44,6.87,21.23,43.8,23.37,47,97.63,36.11290490381510
131.44,123.75,125.37,7.69,123.75,1.62,8.43,21.6,44.35,27.81,52.25,102,35.34445234714260
130.88,126,130.13,5.51,125.37,4.76,9.19,25.86,48.74,27.57,54.83,103.95,39.22131184161880
129.63,126.25,127.12,3.88,126.25,0.87,9.44,25.04,45.61,28.14,55.58,103.39,38.34358338962970
127.25,124.37,125.19,2.88,124.37,0.82,9.88,23.17,46.31,27.46,54.52,103.46,39.09657411636210
127.81,121.44,122,6.37,121.44,0.56,9.07,22.11,44.62,32.21,57.89,106.45,32.99120997707000
125,120.44,125,4.56,120.44,4.56,13.63,23.68,45.18,33.71,58.57,106.51,40.71592637924050
126.81,121.37,123,5.44,121.37,1.63,14.82,21.69,44.87,36.33,59.7,109.95,39.52052979156770
124.75,121.69,123.5,3.06,121.69,1.81,15.01,23.44,46.31,31.7,59.51,106.88,44.50089630993870
122.81,120,120.06,3.5,120,0.06,10.31,19.5,44.68,29.69,57.26,106.76,35.55189163064340
122.25,119.62,121,2.63,119.62,1.38,10.82,20.26,45.37,28.44,56.58,106.08,38.08072111126060
121.06,115.5,117.75,5.56,115.5,2.25,12.25,22.13,44.93,31.12,58.58,108.52,39.20175945184150
120,116.75,119.87,3.25,116.75,3.12,14.81,23.88,47.05,28,60.21,108.33,47.76084369624730
123.25,119.06,122,4.19,119.06,2.94,13.19,26.82,48.49,27.63,61.34,109.33,46.10726321353140
122.75,119.06,119.19,3.69,119.06,0.13,11.69,26.51,47.74,25.88,62.21,109.21,44.23163754660030
119.19,115.06,116.37,4.13,115.06,1.31,11.19,26.2,47.8,26.95,58.65,110.9,42.64725719119970
115.06,111.06,113.5,5.31,111.06,2.44,13.57,23.88,49.74,28.76,58.45,113.28,44.90773079426090
116.69,113.12,114.25,3.57,113.12,1.13,13.32,24.14,49.18,29.7,58.14,113.72,43.66877794150690
114.87,110,110,4.87,110,0,11.07,23.32,46.49,29.01,60.13,114.65,38.67882791817870
110.87,105,105.06,5.87,105,0.06,8.01,22.82,44.93,31.63,59.63,117.52,30.86666901742030
107.25,104.69,107,2.56,104.69,2.31,7.38,20.57,44.25,30,57.63,116.2,29.69533224101030
108.87,103.87,107.87,5,103.87,4,11.25,22.94,44.63,31.31,57.19,116.89,37.44700873898680
109,104.69,107,4.31,104.69,2.31,12.25,23.44,46.88,31.49,58.44,117.95,39.36709099359140
108.5,105.44,107.12,3.06,105.44,1.68,11.49,25.06,44.56,29.24,58,115.26,40.32230793829840
113.06,107,107,6.06,107,0,10.36,23.68,43.94,31.73,61.43,118.01,34.99028116835860
93,89,91,18,89,2,12.36,23.43,45.56,44.86,73.87,132.45,29.72045604604880
94.62,92.5,93.94,3.62,91,2.94,15.24,23.25,47.13,42.61,74.24,134.45,34.39337569735600
95.12,92.12,93.87,3,92.12,1.75,14.68,22.06,48.88,43.05,73.05,134.39,33.30975394839900
96,94.62,95.5,2.13,93.87,1.63,12.31,23.56,50.07,40.18,71.49,133.7,32.27276595896040
95.56,92.81,93,2.75,92.81,0.19,10.19,22.44,48.64,38.62,70.11,128.76,29.61865284111040
95.31,94.25,94.94,2.31,93,1.94,10.45,21.94,45.82,37.87,67.11,125.56,30.32218709154370
99,96.25,98.25,4.06,94.94,3.31,13.76,24.12,48.26,35.87,67.6,125.74,37.59781729482390
98.81,96.37,96.75,2.44,96.37,0.38,12.14,24.5,47.82,20.31,65.17,125.3,50.34948824220860
96.81,93.69,94.81,3.12,93.69,1.12,10.32,25.56,48.38,19.81,62.42,122.05,47.13084660152830
95.94,93.5,94.37,2.44,93.5,0.87,9.44,24.12,44.69,19.25,62.3,119.93,44.40728992991700
94.44,90,91.56,4.44,90,1.56,9.37,21.68,44.62,21.56,61.74,118.93,40.22690138326670
92.94,90.19,90.25,2.75,90.19,0.06,9.24,19.43,42.87,21.56,60.18,118.62,38.87744804976850
93.94,90.5,93.94,3.69,90.25,3.69,10.99,21.44,46.5,22.94,60.81,118.81,43.04045395404990
95.5,92.12,93.62,3.38,92.12,1.5,9.18,22.94,46.62,22.26,58.13,119.56,40.41129813217690
97.06,94.12,97,3.44,93.62,3.38,12.18,24.32,47.75,23.26,43.57,117.44,51.67911493551130
97.5,94.87,95,2.63,94.87,0.13,11.19,21.51,44.76,22.77,42.58,116.82,47.98902085746600
96.25,93,95.87,3.25,93,2.87,13.19,22.63,44.69,23.58,42.83,115.88,52.56975581936780
96.37,93.87,94.06,2.5,93.87,0.19,11.82,21.19,44.75,21.64,43.2,114.69,50.80062332039430
95,93,94.62,2,93,1.62,13.38,22.62,45.06,20.89,42.45,112.56,57.54336563552570
94.87,92.62,93.75,2.25,92.62,1.13,10.82,21.81,43.75,19.45,42.39,109.5,52.19646369251300
98.25,93.56,98,4.69,93.56,4.44,13.76,22.94,47.06,20.76,43.02,110.62,59.18790675868850
105.12,98.37,103.94,7.12,98,5.94,16.32,28.5,53,24.44,47.7,112.87,61.93666297485070
108.44,104.44,107.87,4.5,103.94,3.93,20.12,31.31,56.87,26.31,49.08,111.5,69.21191320743020
109.87,106,106.06,3.87,106,0.06,17.31,30.5,54.62,26.93,50.51,112.81,60.89955525419950
105,101.81,104.5,4.25,101.81,2.69,19.81,31.63,53.31,28.68,50.32,112.06,64.22546397541440
106,104.12,105,1.88,104.12,0.88,19.07,32.45,51.88,28.56,49.45,109.63,63.66476118826240
104.94,103.37,104.19,1.63,103.37,0.82,18.76,29.58,51.02,27.94,47.39,108.2,62.93791456449510
104.5,102.12,103.06,2.38,102.12,0.94,15.26,29.02,51.96,25.63,46.39,104.52,58.99779323586760
104.44,102.25,103.42,2.19,102.25,1.17,10.49,26.81,51.13,20.7,45.14,88.71,54.16122258271470
106.31,103.37,105.27,2.94,103.37,1.9,8.46,28.58,50.09,19.14,45.45,88.03,51.35259153609450
112.87,107.94,111.87,7.6,105.27,6.6,15,32.31,54.94,22.87,49.8,92.63,64.48895730918120
116.5,112.5,116,4.63,111.87,4.13,16.44,36.25,57.44,23.25,51.93,95.13,68.97575091554040
119.19,115.44,116.62,3.75,115.44,1.18,16.74,35.81,58.43,25.12,53.68,96.13,65.82329311634670
121,115.5,118.28,5.5,115.5,2.78,18.7,37.46,59.27,28.99,56.93,99.32,64.18514472755500
122.12,112.25,113.37,9.87,112.25,1.12,18.88,34.14,57.08,36.48,62.11,105.13,53.03517353128750
111.94,107.56,109,5.81,107.56,1.44,19.15,29.64,58.14,40.1,60.8,108.5,48.87252819235650
112.75,106.56,109.7,6.19,106.56,3.14,20.39,28.85,60.16,43.35,62.49,111.57,47.77130006981800
110.19,106.87,109.25,3.32,106.87,2.38,16.17,31.17,61.67,39.07,61.94,112.45,45.86242184307680
107.94,104.5,107,4.75,104.5,2.5,14.54,30.98,62.61,39.19,62.44,112.76,43.30878232706680
109.69,105.75,109.19,3.94,105.75,3.44,16.8,33.54,65.99,39.38,64.5,113.95,47.50805172775020
111.06,108.62,110,2.44,108.62,1.38,15.4,34.1,63.68,36.32,65.31,112.7,47.21893812760770
110.44,107.75,109.2,2.69,107.75,1.45,15.73,34.61,63.63,29.14,65.62,112.01,54.03095570050960
110.12,108.06,110.12,2.06,108.06,2.06,16.35,35.5,62.31,25.39,65.49,110.63,60.33115734209040
110.31,108,108,2.31,108,0,13.21,33.6,62.18,21.51,64.86,110.31,57.94705306135730
110.44,108.19,108.62,2.44,108,0.62,11.45,27.62,59.93,20.63,59.7,109.5,52.75238472482530
110,108.12,109.75,1.88,108.12,1.63,10.58,25.12,61.37,17.76,56.95,108.88,54.69583263337890
110.75,109.06,109.81,1.69,109.06,0.75,7.89,24.69,60.5,15.51,54.89,108.57,49.88111197855920
110.5,108.75,109,1.75,108.75,0.25,6.76,22.16,59.62,14.82,51.14,108.07,46.32687807096450
110.5,108.56,108.75,1.94,108.56,0.19,5.5,21.23,55.37,14.07,43.21,105.32,43.88549329674490
109.5,106.62,107.87,2.88,106.62,1.25,4.69,21.04,50.68,14.89,40.28,101.08,40.08540297699180
